bin,k,q_squared,t,x_b,w,phi,sigma [nb],sigma_stat_plus,sigma_stat_minus,sigma_sys_plus,sigma_sys_minus,1/2 Helc_sum_d4_sigma (nb/GeV^4),1/2 Helc_diff_d4_sigma_stat_plus,1/2 Helc_diff_d4_sigma_stat_minus,1/2 Helc_diff_d4_sigma_sys_plus,1/2 Helc_diff_d4_sigma_sys_minus,link
,3.355,1.5,0.236,0.359,,45,,,,,,0.0224,0.019,0.019,,,
,3.355,1.5,0.236,0.359,,75,,,,,,0.00736,0.014,0.014,,,
,3.355,1.5,0.236,0.359,,105,,,,,,0.00189,0.012,0.012,,,
,3.355,1.5,0.236,0.359,,135,,,,,,0.0167,0.01,0.01,,,
,3.355,1.5,0.236,0.359,,165,,,,,,0.00146,0.01,0.01,,,
,3.355,1.5,0.236,0.359,,195,,,,,,0.00289,0.01,0.01,,,
,3.355,1.5,0.236,0.359,,225,,,,,,-0.00513,0.011,0.011,,,
,3.355,1.5,0.236,0.359,,255,,,,,,-0.0212,0.012,0.012,,,
,3.355,1.5,0.236,0.359,,285,,,,,,-0.0268,0.014,0.014,,,
,3.355,1.5,0.236,0.359,,315,,,,,,-0.0326,0.019,0.019,,,
,3.355,1.5,0.236,0.359,,345,,,,,,0.00721,0.029,0.029,,,
,3.355,1.5,0.296,0.36,,45,,,,,,-0.00826,0.026,0.026,,,
,3.355,1.5,0.296,0.36,,75,,,,,,0.00708,0.014,0.014,,,
,3.355,1.5,0.296,0.36,,105,,,,,,0.0108,0.011,0.011,,,
,3.355,1.5,0.296,0.36,,135,,,,,,0.00479,0.0094,0.0094,,,
,3.355,1.5,0.296,0.36,,165,,,,,,0.00548,0.0091,0.0091,,,
,3.355,1.5,0.296,0.36,,195,,,,,,-0.00605,0.0094,0.0094,,,
,3.355,1.5,0.296,0.36,,225,,,,,,0.00338,0.0097,0.0097,,,
,3.355,1.5,0.296,0.36,,255,,,,,,-0.0111,0.011,0.011,,,
,3.355,1.5,0.296,0.36,,285,,,,,,-0.0253,0.014,0.014,,,
,3.355,1.5,0.296,0.36,,315,,,,,,-0.0389,0.026,0.026,,,
,4.455,1.74,0.181,0.357,,7.5,,,,,,-0.0119,0.0096,0.0096,,,
